Frequency(Hz),Magnitude(dB),Phase(deg)
10.00,-3.53,-2.40
10.23,-3.53,-2.45
10.47,-3.53,-2.51
10.72,-3.53,-2.57
10.97,-3.53,-2.63
11.22,-3.53,-2.69
11.48,-3.53,-2.75
11.75,-3.53,-2.82
12.03,-3.53,-2.88
12.31,-3.53,-2.95
12.60,-3.53,-3.02
12.89,-3.53,-3.09
13.19,-3.54,-3.16
13.50,-3.54,-3.24
13.81,-3.54,-3.31
14.14,-3.54,-3.39
14.47,-3.54,-3.47
14.80,-3.54,-3.55
15.15,-3.54,-3.63
15.50,-3.54,-3.72
15.86,-3.54,-3.80
16.23,-3.54,-3.89
16.61,-3.54,-3.98
17.00,-3.54,-4.07
17.40,-3.54,-4.17
17.80,-3.55,-4.26
18.22,-3.55,-4.36
18.64,-3.55,-4.47
19.08,-3.55,-4.57
19.52,-3.55,-4.68
19.98,-3.55,-4.78
20.45,-3.55,-4.90
20.92,-3.56,-5.01
21.41,-3.56,-5.13
21.91,-3.56,-5.24
22.42,-3.56,-5.37
22.95,-3.56,-5.49
23.48,-3.56,-5.62
24.03,-3.57,-5.75
24.59,-3.57,-5.88
25.17,-3.57,-6.02
25.75,-3.57,-6.16
26.35,-3.57,-6.30
26.97,-3.58,-6.45
27.60,-3.58,-6.59
28.24,-3.58,-6.75
28.90,-3.59,-6.90
29.58,-3.59,-7.06
30.27,-3.59,-7.23
30.97,-3.59,-7.39
31.70,-3.60,-7.56
32.44,-3.60,-7.74
33.19,-3.60,-7.92
33.97,-3.61,-8.10
34.76,-3.61,-8.28
35.57,-3.62,-8.47
36.40,-3.62,-8.67
37.25,-3.63,-8.87
38.12,-3.63,-9.07
39.01,-3.64,-9.28
39.92,-3.64,-9.49
40.85,-3.65,-9.71
41.81,-3.65,-9.93
42.78,-3.66,-10.16
43.78,-3.67,-10.39
44.80,-3.67,-10.63
45.85,-3.68,-10.87
46.92,-3.69,-11.12
48.01,-3.69,-11.37
49.13,-3.70,-11.63
50.28,-3.71,-11.89
51.45,-3.72,-12.16
52.66,-3.73,-12.44
53.88,-3.74,-12.72
55.14,-3.75,-13.01
56.43,-3.76,-13.30
57.75,-3.77,-13.60
59.09,-3.78,-13.90
60.47,-3.79,-14.21
61.88,-3.80,-14.53
63.33,-3.82,-14.86
64.81,-3.83,-15.19
66.32,-3.84,-15.53
67.87,-3.86,-15.87
69.45,-3.87,-16.22
71.07,-3.89,-16.58
72.73,-3.91,-16.94
74.43,-3.92,-17.32
76.17,-3.94,-17.70
77.94,-3.96,-18.08
79.76,-3.98,-18.48
81.63,-4.00,-18.88
83.53,-4.02,-19.28
85.48,-4.05,-19.70
87.47,-4.07,-20.12
89.52,-4.09,-20.55
91.61,-4.12,-20.99
93.74,-4.14,-21.44
95.93,-4.17,-21.89
98.17,-4.20,-22.35
100.46,-4.23,-22.82
102.81,-4.26,-23.30
105.21,-4.29,-23.78
107.66,-4.33,-24.27
110.18,-4.36,-24.77
112.75,-4.40,-25.28
115.38,-4.43,-25.79
118.07,-4.47,-26.32
120.83,-4.51,-26.84
123.65,-4.55,-27.38
126.53,-4.60,-27.92
129.49,-4.64,-28.48
132.51,-4.69,-29.03
135.60,-4.74,-29.60
138.77,-4.79,-30.17
142.01,-4.84,-30.75
145.32,-4.89,-31.33
148.71,-4.95,-31.92
152.18,-5.00,-32.52
155.73,-5.06,-33.12
159.37,-5.12,-33.73
163.09,-5.19,-34.34
166.90,-5.25,-34.96
170.79,-5.32,-35.58
174.78,-5.39,-36.21
178.86,-5.46,-36.84
183.03,-5.53,-37.48
187.30,-5.61,-38.12
191.67,-5.68,-38.76
196.15,-5.76,-39.41
200.73,-5.84,-40.06
205.41,-5.93,-40.71
210.21,-6.01,-41.36
215.11,-6.10,-42.02
220.13,-6.19,-42.68
225.27,-6.29,-43.34
230.53,-6.38,-44.00
235.91,-6.48,-44.66
241.42,-6.58,-45.32
247.05,-6.68,-45.98
252.82,-6.79,-46.64
258.72,-6.90,-47.30
264.76,-7.00,-47.96
270.94,-7.12,-48.62
277.26,-7.23,-49.27
283.73,-7.35,-49.92
290.35,-7.46,-50.57
297.13,-7.59,-51.22
304.06,-7.71,-51.86
311.16,-7.83,-52.50
318.42,-7.96,-53.14
325.86,-8.09,-53.77
333.46,-8.22,-54.40
341.24,-8.36,-55.02
349.21,-8.49,-55.64
357.36,-8.63,-56.26
365.70,-8.77,-56.86
374.24,-8.91,-57.47
382.97,-9.05,-58.06
391.91,-9.20,-58.65
401.06,-9.34,-59.24
410.42,-9.49,-59.81
420.00,-9.64,-60.39
429.80,-9.80,-60.95
439.83,-9.95,-61.51
450.10,-10.11,-62.06
460.60,-10.26,-62.60
471.35,-10.42,-63.14
482.35,-10.58,-63.67
493.61,-10.74,-64.19
505.13,-10.91,-64.70
516.92,-11.07,-65.21
528.99,-11.24,-65.71
541.34,-11.40,-66.20
553.97,-11.57,-66.69
566.90,-11.74,-67.16
580.13,-11.91,-67.63
593.67,-12.09,-68.09
607.53,-12.26,-68.55
621.71,-12.43,-68.99
636.22,-12.61,-69.43
651.07,-12.78,-69.86
666.27,-12.96,-70.29
681.82,-13.14,-70.70
697.73,-13.32,-71.11
714.02,-13.50,-71.51
730.68,-13.68,-71.91
747.73,-13.86,-72.29
765.19,-14.04,-72.67
783.05,-14.23,-73.04
801.32,-14.41,-73.41
820.03,-14.59,-73.77
839.17,-14.78,-74.12
858.75,-14.96,-74.46
878.80,-15.15,-74.80
899.31,-15.34,-75.13
920.30,-15.52,-75.46
941.78,-15.71,-75.78
963.76,-15.90,-76.09
986.25,-16.09,-76.39
1009.27,-16.28,-76.69
1032.83,-16.47,-76.98
1056.93,-16.66,-77.27
1081.60,-16.85,-77.55
1106.85,-17.04,-77.83
1132.68,-17.23,-78.10
1159.12,-17.43,-78.36
1186.17,-17.62,-78.62
1213.86,-17.81,-78.87
1242.19,-18.00,-79.12
1271.18,-18.20,-79.36
1300.85,-18.39,-79.60
1331.22,-18.59,-79.83
1362.29,-18.78,-80.06
1394.08,-18.97,-80.28
1426.62,-19.17,-80.50
1459.92,-19.36,-80.71
1493.99,-19.56,-80.92
1528.86,-19.76,-81.12
1564.55,-19.95,-81.32
1601.06,-20.15,-81.52
1638.43,-20.34,-81.71
